Date,Open,High,Low,Close,Adj Close,Volume
3/2/2009,4617.029785,4617.029785,4351.47998,4360.97998,4360.97998,7868290000
3/3/2009,4360.97998,4428.060059,4297.390137,4334.700195,4334.700195,7583230000
3/4/2009,4334.700195,4529.75,4334.700195,4464.890137,4464.890137,7673620000
3/5/2009,4464.890137,4464.890137,4234.700195,4267.600098,4267.600098,7507250000
3/6/2009,4267.629883,4386.049805,4181.75,4284.490234,4284.490234,7331830000
3/9/2009,4284.47998,4321.759766,4203.910156,4226.310059,4226.310059,7277320000
3/10/2009,4226.310059,4499.379883,4226.310059,4499.379883,4499.379883,8618330000
3/11/2009,4499.620117,4579.930176,4457.970215,4505.379883,4505.379883,7287810000
3/12/2009,4505.379883,4697.069824,4458.430176,4684.990234,4684.990234,7326630000
3/13/2009,4684.990234,4737.850098,4639.310059,4721,4721,6787090000
3/16/2009,4721.080078,4858.930176,4721.080078,4728.910156,4728.910156,7883540000
3/17/2009,4728.910156,4868.149902,4690.160156,4868.140137,4868.140137,6156800000
3/18/2009,4868.140137,5012.580078,4764.339844,4975.299805,4975.299805,9098450000
3/19/2009,4975.299805,5039.040039,4927.97998,4937.220215,4937.220215,9033870000
3/20/2009,4937.220215,4955.120117,4822.77002,4832.129883,4832.129883,7643720000
3/23/2009,4832.149902,5187.02002,4832.149902,5185.859863,5185.859863,7715770000
3/24/2009,5185.839844,5185.850098,5060.569824,5064.330078,5064.330078,6767980000
3/25/2009,5064.319824,5199.620117,4987.669922,5127,5127,7687180000
3/26/2009,5127,5232.549805,5124.609863,5230.529785,5230.529785,6992960000
3/27/2009,5230.529785,5230.529785,5083.060059,5096.640137,5096.640137,5600210000
3/30/2009,5100.560059,5100.560059,4852.040039,4899.049805,4899.049805,5912660000
3/31/2009,4899.049805,5055.910156,4899.049805,4978.97998,4978.97998,6089100000
4/1/2009,4978.959961,5100.330078,4908.72998,5085.759766,5085.759766,6034140000
4/2/2009,5085.759766,5339.870117,5085.759766,5267.100098,5267.100098,7542810000
4/3/2009,5267.100098,5318.839844,5213.22998,5318.75,5318.75,5855640000
4/6/2009,5318.72998,5318.72998,5172.779785,5249.47998,5249.47998,6210000000
4/7/2009,5249.47998,5249.47998,5116.410156,5120.669922,5120.669922,5155580000
4/8/2009,5120.859863,5198.220215,5107.950195,5176.410156,5176.410156,5938460000
4/9/2009,5176.410156,5376.97998,5176.410156,5376.439941,5376.439941,7600710000
4/13/2009,5376.439941,5444.919922,5304.709961,5410.279785,5410.279785,6434890000
4/14/2009,5410.27002,5410.27002,5297.950195,5301.5,5301.5,7569840000
4/15/2009,5301.5,5388.419922,5273.370117,5384.970215,5384.970215,6241100000
4/16/2009,5384.990234,5487.100098,5346.669922,5454.27002,5454.27002,6598670000
4/17/2009,5454.27002,5516.669922,5424.790039,5480.600098,5480.600098,7352010000
4/20/2009,5480.600098,5480.600098,5220.120117,5220.120117,5220.120117,6973960000
4/21/2009,5220.120117,5341.22998,5177.299805,5339.589844,5339.589844,7436490000
